Start norm=zscore c6->c4 seed=45
Start source_only c6->c4 seed=45 init_sha256=ccb4fb1bf1dce88827f3fc8d16d3739d815ab71d6094bb1f9471cf991982c13d
source_only epoch=25/50 source_MSE=853.499438 gram=0.000000 source_order_sha256=5ffe98837eb0d86546ec20d9f45ad06d152a673f506ded6d1c16693bf2791181 target_unique=0
source_only epoch=26/50 source_MSE=794.502954 gram=0.000000 source_order_sha256=867b394c0372ad41b0df3fdd6020fc8d500c3169080aa46b66431eea88dc6d07 target_unique=0
source_only epoch=27/50 source_MSE=602.924603 gram=0.000000 source_order_sha256=cc5a361473ef8b7a11879e89aec94753de4ed16ab109a095ae7c3f162e0294a4 target_unique=0
source_only epoch=28/50 source_MSE=493.758682 gram=0.000000 source_order_sha256=766ee53e5b647971064d41d558697125af3024954366a7dceceda18047f20be5 target_unique=0
source_only epoch=29/50 source_MSE=295.761273 gram=0.000000 source_order_sha256=2ce6bcc6ee91ddf33a5a09373efc6447c4920229399d612ca88d591aa6a3e42c target_unique=0
source_only epoch=30/50 source_MSE=224.004436 gram=0.000000 source_order_sha256=c0cab29f20c785d42e00eeb2389f57ccc595b010ee7dfa8d3c61c55ee7760273 target_unique=0
source_only epoch=31/50 source_MSE=170.694350 gram=0.000000 source_order_sha256=f00ca77b56e790d87d5a5ea31de512dc358a344780f5255e5ef1fc7b66aa15af target_unique=0
source_only epoch=32/50 source_MSE=163.963232 gram=0.000000 source_order_sha256=3f06f862c46e368ea2349b46dca04dde0fbc0f43dddafed344bbf7e8cf9da0d3 target_unique=0
source_only epoch=33/50 source_MSE=144.703022 gram=0.000000 source_order_sha256=c568cdfdf8682817170b018d20f4627ce732e0574cf17d1189cda617c9962b09 target_unique=0
source_only epoch=34/50 source_MSE=80.391379 gram=0.000000 source_order_sha256=5a70530ab8164e4ea4a642d044e73c843e6a65b5d0e4b9bc5805b584840b6a7b target_unique=0
source_only epoch=35/50 source_MSE=92.701910 gram=0.000000 source_order_sha256=d849e7e630af00ffdce4ca2a38ba1f49055ed79d17fa6d8aa9f0501ca27e80ff target_unique=0
source_only epoch=36/50 source_MSE=47.721212 gram=0.000000 source_order_sha256=64976acf8b883f194413c29e321163b13538018d6076a9af3bc92adf35a51071 target_unique=0
source_only epoch=37/50 source_MSE=55.811989 gram=0.000000 source_order_sha256=ca7a6eb23b073ede6a6a9e33de776bcab197279c9653eea46ddab183e545b171 target_unique=0
source_only epoch=38/50 source_MSE=76.956317 gram=0.000000 source_order_sha256=6adbe4b78552a32b8f34296f469f4ca67018c742884f3da8c32db204c908a847 target_unique=0
source_only epoch=39/50 source_MSE=51.669003 gram=0.000000 source_order_sha256=c6ef91fa8be2fc3085d7ac89ce05cc4c456e184ef8a8bb359ee69caab02ca704 target_unique=0
source_only epoch=40/50 source_MSE=24.533134 gram=0.000000 source_order_sha256=325f35213535cb4b2011c636483abfc25685837ce7fb4d33c833b8e8d48e5ee0 target_unique=0
source_only epoch=41/50 source_MSE=33.438800 gram=0.000000 source_order_sha256=c63120c5093366c733071f21e68ec691bd3ae12f9082d3a8421a9112f8d67ced target_unique=0
source_only epoch=42/50 source_MSE=69.189447 gram=0.000000 source_order_sha256=0091fe36b0e39889cd3cd5f592b2feefe6484e5d7474bd8b60db5285831dec3d target_unique=0
source_only epoch=43/50 source_MSE=44.127690 gram=0.000000 source_order_sha256=73cc523c16ee53eada7702cbe71a8ac3a425ed16a42235be6b9dfb00ecd7b69d target_unique=0
source_only epoch=44/50 source_MSE=40.691968 gram=0.000000 source_order_sha256=b795790825fa91e95a271cc643c636542621ba64a4649852c8c6b17398e7320a target_unique=0
source_only epoch=45/50 source_MSE=21.964508 gram=0.000000 source_order_sha256=7011f0e2b261954111df9196f330da8a59e4b8611c183a6f3c7e135432ff8f49 target_unique=0
source_only epoch=46/50 source_MSE=61.115882 gram=0.000000 source_order_sha256=dba6243f657041675b1b6efc66bd84b48db99899b0851496d0966575f82eec0c target_unique=0
source_only epoch=47/50 source_MSE=35.601145 gram=0.000000 source_order_sha256=de051c058bcfd923f2721fbe0ac7edc51f4f43cc9a2d11952d920eb3420b41d8 target_unique=0
source_only epoch=48/50 source_MSE=17.883848 gram=0.000000 source_order_sha256=e76d87aae1e181c43d51ee685f550a53f7a51a1d0359a2563962770b10454ec0 target_unique=0
source_only epoch=49/50 source_MSE=13.688590 gram=0.000000 source_order_sha256=df325a104b34f36e14801c79722c4728d42efd0e8b67375ebd2440ce2257c8e2 target_unique=0
source_only epoch=50/50 source_MSE=40.354246 gram=0.000000 source_order_sha256=a25095d7fa03e3cdd7482f5d8ff642cbcc6c98c99212f7893289916840ba4fad target_unique=0
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\zscore\c6_to_c4\seed_45\source_only\final.pth
Start daregram c6->c4 seed=45 init_sha256=ccb4fb1bf1dce88827f3fc8d16d3739d815ab71d6094bb1f9471cf991982c13d
daregram epoch=1/50 source_MSE=17420.008398 gram=29.243651 source_order_sha256=045c106d41422400410757db216008e065f81519c5545837926974282c7e874d target_unique=315
daregram epoch=2/50 source_MSE=15926.626758 gram=31.341345 source_order_sha256=d244cfd7952036477bb4e4372d79308b8e0d558b0a6ed018b3de79da389e3f70 target_unique=315
daregram epoch=3/50 source_MSE=15044.175977 gram=23.996181 source_order_sha256=72515ed719da026324d5ba11c224d09c4bce8e3eabf90780b9372fbf3c3ed692 target_unique=315
daregram epoch=4/50 source_MSE=14248.527148 gram=41.864689 source_order_sha256=2b58e4f832d5864008adc8a2dcb7b57d1b5d969c33846c977d9f2f0598fef041 target_unique=315
daregram epoch=5/50 source_MSE=13472.435547 gram=36.633271 source_order_sha256=4724f088a02ee8104a3436f981c49e28c4023a6c2a38ffafc299f0e3218f4d97 target_unique=315
daregram epoch=6/50 source_MSE=12665.282812 gram=40.983974 source_order_sha256=2836eae41f09548b769199df076218aeb67e314f0247883e288197cc142db96e target_unique=315
daregram epoch=7/50 source_MSE=11894.361328 gram=59.453994 source_order_sha256=a3300b282934dfd982a42d05dfdf2a7963837b699312646afdd7121df15634af target_unique=315
daregram epoch=8/50 source_MSE=11076.187500 gram=32.993418 source_order_sha256=bf062d81bbbcaae4e178180b47a03a6a93dca012d6e1da36c5789cc09fadffcd target_unique=315
daregram epoch=9/50 source_MSE=10276.682422 gram=21.654331 source_order_sha256=7411722688535bcb242be789ef4d10cc9e93b8435cef3511a7b9afb3b8a9adfe target_unique=315
daregram epoch=10/50 source_MSE=9475.251562 gram=29.123034 source_order_sha256=11420b1cb26c2ff760bcdec9c06375a963c02a69e242b3fa5969aaa7737da2c4 target_unique=315
daregram epoch=11/50 source_MSE=8642.242773 gram=67.723303 source_order_sha256=1915982666d06674912772b867fcbc3c62bc54ddd8181b7c079776187a575b42 target_unique=315
daregram epoch=12/50 source_MSE=7849.338965 gram=77.652328 source_order_sha256=598c86ad715716fce5159406cebfca58dca06c49e24010abf15594a7c3540e42 target_unique=315
daregram epoch=13/50 source_MSE=7089.027637 gram=44.182972 source_order_sha256=dd240e44db2a2fd49962dd19983fd68cd4495c3d730080c5e31cef0cdd85831b target_unique=315
daregram epoch=14/50 source_MSE=6328.812598 gram=49.983420 source_order_sha256=8e9a55e9b0f759bda510696c2a7a266bf2f6d8e8cc742a13b1ae2ca5b7256a12 target_unique=315
daregram epoch=15/50 source_MSE=5634.110937 gram=38.177138 source_order_sha256=592bd639e2eb5b2d37b8ed774ab87c117d7919f5c5f82fa594d02343539b45ed target_unique=315
daregram epoch=16/50 source_MSE=4935.889063 gram=61.198355 source_order_sha256=964b808a67e8469fb493ef77cfced592a291106b522131faaacd106f7486cd33 target_unique=315
daregram epoch=17/50 source_MSE=4265.390869 gram=76.317703 source_order_sha256=c58942fdedc6a094f0d5dbdaf7de2779368116e369e4b6d0721adaf543f44a10 target_unique=315
daregram epoch=18/50 source_MSE=3619.593945 gram=20.581328 source_order_sha256=b97c3ede62ff06328711c9c003c188c536ef9293e38a5ba36d0f7cfacd96b09f target_unique=315
daregram epoch=19/50 source_MSE=3034.587012 gram=53.024687 source_order_sha256=ffb75eeebcf84ebc824da0e3b8ce7dc5cf13c7cc1b4d4f85b6d33fd889e2c18f target_unique=315
daregram epoch=20/50 source_MSE=2574.743823 gram=72.030138 source_order_sha256=5c051e800cc58c79f5da470e5769c85e095e12e6df09d36c741a398f8a85dd57 target_unique=315
daregram epoch=21/50 source_MSE=2170.082568 gram=34.525142 source_order_sha256=1d7b16b1d50a60478580220c2dc591c3412a1021cbba2b96311ced7699951d0b target_unique=315
daregram epoch=22/50 source_MSE=1775.753174 gram=65.200664 source_order_sha256=5bab7c9a8e0a4628832cd8bcc8fecae9576b6715d41e6d46d282b21146ba02f5 target_unique=315
daregram epoch=23/50 source_MSE=1429.160083 gram=20.535957 source_order_sha256=cd6f21162e5f0d61e6d303aecdcdffc75302d3415463b77dee1a1a3231878581 target_unique=315
daregram epoch=24/50 source_MSE=1156.853015 gram=32.333035 source_order_sha256=1157e53d7e7f2e0a978b9edd9257ac57dd42f290bbf19e9e6ab5eff56f3b91fe target_unique=315
daregram epoch=25/50 source_MSE=863.003552 gram=50.902301 source_order_sha256=5ffe98837eb0d86546ec20d9f45ad06d152a673f506ded6d1c16693bf2791181 target_unique=315
daregram epoch=26/50 source_MSE=779.714264 gram=25.015618 source_order_sha256=867b394c0372ad41b0df3fdd6020fc8d500c3169080aa46b66431eea88dc6d07 target_unique=315
daregram epoch=27/50 source_MSE=628.002753 gram=53.311833 source_order_sha256=cc5a361473ef8b7a11879e89aec94753de4ed16ab109a095ae7c3f162e0294a4 target_unique=315
daregram epoch=28/50 source_MSE=461.889507 gram=29.716620 source_order_sha256=766ee53e5b647971064d41d558697125af3024954366a7dceceda18047f20be5 target_unique=315
daregram epoch=29/50 source_MSE=306.720602 gram=22.388117 source_order_sha256=2ce6bcc6ee91ddf33a5a09373efc6447c4920229399d612ca88d591aa6a3e42c target_unique=315
daregram epoch=30/50 source_MSE=220.974829 gram=25.231809 source_order_sha256=c0cab29f20c785d42e00eeb2389f57ccc595b010ee7dfa8d3c61c55ee7760273 target_unique=315
daregram epoch=31/50 source_MSE=165.526447 gram=34.098962 source_order_sha256=f00ca77b56e790d87d5a5ea31de512dc358a344780f5255e5ef1fc7b66aa15af target_unique=315
daregram epoch=32/50 source_MSE=160.572618 gram=40.158446 source_order_sha256=3f06f862c46e368ea2349b46dca04dde0fbc0f43dddafed344bbf7e8cf9da0d3 target_unique=315
daregram epoch=33/50 source_MSE=125.908423 gram=34.827690 source_order_sha256=c568cdfdf8682817170b018d20f4627ce732e0574cf17d1189cda617c9962b09 target_unique=315
daregram epoch=34/50 source_MSE=124.876804 gram=21.153390 source_order_sha256=5a70530ab8164e4ea4a642d044e73c843e6a65b5d0e4b9bc5805b584840b6a7b target_unique=315
daregram epoch=35/50 source_MSE=146.589464 gram=16.129181 source_order_sha256=d849e7e630af00ffdce4ca2a38ba1f49055ed79d17fa6d8aa9f0501ca27e80ff target_unique=315
daregram epoch=36/50 source_MSE=82.547381 gram=12.337705 source_order_sha256=64976acf8b883f194413c29e321163b13538018d6076a9af3bc92adf35a51071 target_unique=315
daregram epoch=37/50 source_MSE=62.702025 gram=17.545823 source_order_sha256=ca7a6eb23b073ede6a6a9e33de776bcab197279c9653eea46ddab183e545b171 target_unique=315
daregram epoch=38/50 source_MSE=79.851556 gram=29.304079 source_order_sha256=6adbe4b78552a32b8f34296f469f4ca67018c742884f3da8c32db204c908a847 target_unique=315
daregram epoch=39/50 source_MSE=48.917155 gram=24.747704 source_order_sha256=c6ef91fa8be2fc3085d7ac89ce05cc4c456e184ef8a8bb359ee69caab02ca704 target_unique=315
daregram epoch=40/50 source_MSE=29.827314 gram=17.261976 source_order_sha256=325f35213535cb4b2011c636483abfc25685837ce7fb4d33c833b8e8d48e5ee0 target_unique=315
daregram epoch=41/50 source_MSE=48.077974 gram=20.346212 source_order_sha256=c63120c5093366c733071f21e68ec691bd3ae12f9082d3a8421a9112f8d67ced target_unique=315
daregram epoch=42/50 source_MSE=83.714066 gram=11.794588 source_order_sha256=0091fe36b0e39889cd3cd5f592b2feefe6484e5d7474bd8b60db5285831dec3d target_unique=315
daregram epoch=43/50 source_MSE=72.129786 gram=12.686039 source_order_sha256=73cc523c16ee53eada7702cbe71a8ac3a425ed16a42235be6b9dfb00ecd7b69d target_unique=315
daregram epoch=44/50 source_MSE=58.135405 gram=16.593616 source_order_sha256=b795790825fa91e95a271cc643c636542621ba64a4649852c8c6b17398e7320a target_unique=315
daregram epoch=45/50 source_MSE=25.540188 gram=8.007644 source_order_sha256=7011f0e2b261954111df9196f330da8a59e4b8611c183a6f3c7e135432ff8f49 target_unique=315
daregram epoch=46/50 source_MSE=74.222306 gram=18.286250 source_order_sha256=dba6243f657041675b1b6efc66bd84b48db99899b0851496d0966575f82eec0c target_unique=315
daregram epoch=47/50 source_MSE=47.559543 gram=14.732098 source_order_sha256=de051c058bcfd923f2721fbe0ac7edc51f4f43cc9a2d11952d920eb3420b41d8 target_unique=315
daregram epoch=48/50 source_MSE=25.410764 gram=17.834394 source_order_sha256=e76d87aae1e181c43d51ee685f550a53f7a51a1d0359a2563962770b10454ec0 target_unique=315
daregram epoch=49/50 source_MSE=22.640285 gram=9.076704 source_order_sha256=df325a104b34f36e14801c79722c4728d42efd0e8b67375ebd2440ce2257c8e2 target_unique=315
daregram epoch=50/50 source_MSE=57.297226 gram=12.584385 source_order_sha256=a25095d7fa03e3cdd7482f5d8ff642cbcc6c98c99212f7893289916840ba4fad target_unique=315
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\zscore\c6_to_c4\seed_45\daregram\final.pth
Completed norm=zscore c6->c4 seed=45: {'source_only': {'MAE': 13.701551540314204, 'RMSE': 20.630135657379945, 'R2': 0.7041199832218009, 'MAPE_percent': 11.551746509196311}, 'daregram': {'MAE': 16.079455699617903, 'RMSE': 17.258666139610376, 'R2': 0.7929258333074461, 'MAPE_percent': 19.36984254976806}}
